类型代码,面对象分类,线对象分类,点对象分类
060800,1003,,3003
060900,1003,,3003
060901,1003,,3003
060902,1003,,3003
060903,1003,,3003
060904,1003,,3003
060905,1003,,3003
060906,1003,,3003
060907,1003,,3003
061000,1003,,3003
061001,1003,,3003
061100,1003,,3003
061101,1003,,3003
061102,1003,,3003
061103,1003,,3003
061104,1003,,3003
061200,1003,,3003
061201,1003,,3003
061202,1003,,3003
061203,1003,,3003
061204,1003,,3003
061205,1003,,3003
061206,1003,,3003
061207,1003,,3003
061208,1003,,3003
061209,1003,,3003
061210,1003,,3003
061211,1003,,3003
061212,1003,,3003
061213,1003,,3003
061214,1003,,3003
061300,1003,,3003
061301,1003,,3003
061302,1003,,3003
061400,1003,,3003
061401,1003,,3003
070000,1004,,3017
070100,1004,,3017
070200,1004,,3017
070201,1004,,3017
070202,1004,,3017
070203,1004,,3017
070300,1004,,3017
070301,1004,,3017
070302,1004,,3017
070303,1004,,3017
070304,1004,,3017
070305,1004,,3017
070306,1004,,3017
070400,1004,,3017
070401,1004,,3017
070500,1004,,3017
070501,1004,,3017
070600,1004,,3017
070601,1004,,3017
070603,1004,,3017
070604,1004,,3017
070605,1004,,3017
070606,1004,,3017
070607,1004,,3017
070608,1004,,3017
070609,1004,,3017
070610,1004,,3017
070700,1004,,3017
070701,1004,,3017
070702,1004,,3017
070703,1004,,3017
070704,1004,,3017
070705,1004,,3017
070706,1004,,3017
070800,1004,,3017
070900,1004,,3017
071000,1004,,3017
071100,1004,,3017
071200,1004,,3017
071300,1004,,3017
071400,1004,,3017
071500,1004,,3017
071600,1004,,3017
071700,1004,,3017
071800,1004,,3017
071801,1004,,3017
071900,1004,,3017
071901,1004,,3017
071902,1004,,3017
071903,1004,,3017
072000,1004,,3017
072001,1004,,3017
080000,1002,,3005
080100,1002,,3005
080101,1002,,3005
080102,1002,,3005
080103,1002,,3005
080104,1002,,3005
080105,1002,,3005
080106,1002,,3005
080107,1002,,3005
080108,1002,,3005
080109,1002,,3005
080110,1002,,3005
080111,1002,,3005
080112,1002,,3005
080113,1002,,3005
080114,1002,,3005
080115,1002,,3005
080116,1002,,3005
080117,1002,,3005
080118,1002,,3005
080119,1002,,3005
080200,1002,,3005
080201,1002,,3005
080202,1002,,3005
080300,1002,,3005
080301,1002,,3005
080302,1002,,3005
080303,1002,,3005
080304,1002,,3005
080305,1002,,3005
080306,1002,,3005
080307,1002,,3005
080308,1002,,3005
080400,1002,,3005
080401,1002,,3005
080402,1002,,3005
080500,1002,,3005
080501,1002,,3005
080502,1002,,3005
080503,1002,,3005
080504,1002,,3005
080505,1002,,3005
080600,1002,,3006
080601,1002,,3006
080602,1002,,3006
080603,1002,,3006
090000,1004,,3017
090100,1004,,3017
090101,1004,,3017
090102,1004,,3017
090200,1004,,3017
090201,1004,,3017
090202,1004,,3017
090203,1004,,3017
090204,1004,,3017
090205,1004,,3017
090206,1004,,3017
090207,1004,,3017
090208,1004,,3017
090209,1004,,3017
